iter	Passed	Remaining
1050	6890	58673
1051	6895	58649
1052	6898	58617
1053	6903	58592
1054	6907	58564
1055	6910	58530
1056	6914	58501
1057	6917	58469
1058	6921	58440
1059	6925	58409
1060	6929	58379
1061	6933	58351
1062	6937	58323
1063	6940	58292
1064	6944	58260
1065	6948	58233
1066	6953	58213
1067	6957	58187
1068	6965	58194
1069	6973	58201
1070	6981	58206
1071	6988	58202
1072	6993	58184
1073	6999	58172
1074	7005	58165
1075	7014	58173
1076	7019	58159
1077	7026	58151
1078	7031	58137
1079	7039	58136
1080	7045	58129
1081	7050	58110
1082	7056	58098
1083	7062	58091
1084	7066	58063
1085	7070	58032
1086	7073	58003
1087	7077	57972
1088	7081	57946
1089	7085	57916
1090	7088	57885
1091	7092	57857
1092	7096	57826
1093	7099	57797
1094	7103	57771
1095	7107	57741
1096	7111	57714
1097	7114	57684
1098	7117	57647
1099	7121	57616
1100	7123	57579
1101	7127	57551
1102	7131	57525
1103	7135	57495
1104	7139	57467
1105	7142	57440
1106	7146	57414
1107	7154	57415
1108	7162	57426
1109	7170	57430
1110	7177	57425
1111	7183	57414
1112	7193	57435
1113	7200	57433
1114	7206	57423
1115	7213	57425
1116	7216	57391
1117	7220	57365
1118	7226	57352
1119	7229	57320
1120	7233	57295
1121	7237	57267
1122	7241	57242
1123	7245	57212
1124	7247	57176
1125	7251	57150
1126	7255	57122
1127	7259	57095
1128	7262	57067
1129	7266	57039
1130	7270	57012
1131	7274	56988
1132	7278	56962
1133	7282	56938
1134	7286	56911
1135	7290	56883
1136	7294	56858
1137	7301	56860
1138	7309	56866
1139	7316	56866
1140	7324	56873
1141	7331	56867
1142	7336	56851
1143	7344	56853
1144	7350	56849
1145	7358	56855
1146	7366	56855
1147	7373	56859
1148	7382	56866
1149	7387	56852
1150	7394	56846
1151	7400	56843
1152	7404	56815
1153	7408	56790
1154	7412	56763
1155	7417	56749
1156	7421	56720
1157	7425	56696
1158	7428	56668
1159	7433	56647
1160	7437	56624
1161	7441	56600
